Month,Date,Datetime,Settlement_Period,Demand_Forecast,Demand_Outturn,TRIAD_Avoidance_Estimate,TRIAD_Avoidance_Corrected_Demand_Outturn,APE,Absolute_Error,Publish_Datetime
Jan,2025-01-01,2025-01-01 19:30:00+00:00,39,31563,32147,0,32147,1.8,584,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 20:00:00+00:00,40,30342,31552,0,31552,3.8,1210,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 20:30:00+00:00,41,29807,30981,0,30981,3.8,1174,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 21:00:00+00:00,42,29480,29783,0,29783,1.0,303,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 21:30:00+00:00,43,28556,28784,0,28784,0.8,228,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 22:00:00+00:00,44,27472,27548,0,27548,0.3,76,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 22:30:00+00:00,45,26666,26631,0,26631,0.1,35,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 23:00:00+00:00,46,25708,25408,0,25408,1.2,300,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-01 23:30:00+00:00,47,24477,24382,0,24382,0.4,95,2024-12-31T08:45:00Z
Jan,2025-01-01,2025-01-02 00:00:00+00:00,48,23600,23568,0,23568,0.1,32,2024-12-31T08:45:00Z
Jan,2025-01-02,2025-01-02 00:30:00+00:00,1,24240,23482,0,23482,3.2,758,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 01:00:00+00:00,2,24590,24192,0,24192,1.6,398,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 01:30:00+00:00,3,24147,23774,0,23774,1.6,373,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 02:00:00+00:00,4,23511,23053,0,23053,2.0,458,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 02:30:00+00:00,5,23041,22767,0,22767,1.2,274,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 03:00:00+00:00,6,22600,22285,0,22285,1.4,315,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 03:30:00+00:00,7,22107,21904,0,21904,0.9,203,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 04:00:00+00:00,8,21629,21866,0,21866,1.1,237,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 04:30:00+00:00,9,21397,21845,0,21845,2.1,448,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 05:00:00+00:00,10,21300,21771,0,21771,2.2,471,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 05:30:00+00:00,11,21610,22247,0,22247,2.9,637,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 06:00:00+00:00,12,22205,22781,0,22781,2.5,576,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 06:30:00+00:00,13,23537,24562,0,24562,4.2,1025,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 07:00:00+00:00,14,24582,26480,0,26480,7.2,1898,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 07:30:00+00:00,15,25992,28087,0,28087,7.5,2095,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 08:00:00+00:00,16,26900,29826,0,29826,9.8,2926,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 08:30:00+00:00,17,28445,32505,0,32505,12.5,4060,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 09:00:00+00:00,18,29783,33433,0,33433,10.9,3650,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 09:30:00+00:00,19,31144,34417,0,34417,9.5,3273,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 10:00:00+00:00,20,31974,34578,0,34578,7.5,2604,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 10:30:00+00:00,21,32580,34178,0,34178,4.7,1598,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 11:00:00+00:00,22,32426,33701,0,33701,3.8,1275,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 11:30:00+00:00,23,32316,33225,0,33225,2.7,909,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 12:00:00+00:00,24,32332,33139,0,33139,2.4,807,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 12:30:00+00:00,25,32653,33658,0,33658,3.0,1005,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 13:00:00+00:00,26,33220,33765,0,33765,1.6,545,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 13:30:00+00:00,27,33588,33638,0,33638,0.1,50,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 14:00:00+00:00,28,33400,33753,0,33753,1.0,353,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 14:30:00+00:00,29,33648,34249,0,34249,1.8,601,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 15:00:00+00:00,30,34147,35325,0,35325,3.3,1178,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 15:30:00+00:00,31,34844,36883,0,36883,5.5,2039,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 16:00:00+00:00,32,35804,38205,0,38205,6.3,2401,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 16:30:00+00:00,33,37459,39256,0,39256,4.6,1797,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 17:00:00+00:00,34,38978,40363,200,40563,3.9,1585,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 17:30:00+00:00,35,39470,41018,900,41918,5.8,2448,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 18:00:00+00:00,36,39271,41493,800,42293,7.1,3022,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 18:30:00+00:00,37,39214,41598,200,41798,6.2,2584,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 19:00:00+00:00,38,38768,41161,0,41161,5.8,2393,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 19:30:00+00:00,39,38222,40619,0,40619,5.9,2397,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 20:00:00+00:00,40,37686,39128,0,39128,3.7,1442,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 20:30:00+00:00,41,36855,37529,0,37529,1.8,674,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 21:00:00+00:00,42,36010,36078,0,36078,0.2,68,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 21:30:00+00:00,43,34543,34509,0,34509,0.1,34,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 22:00:00+00:00,44,33279,32847,0,32847,1.3,432,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 22:30:00+00:00,45,31622,31070,0,31070,1.8,552,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 23:00:00+00:00,46,29837,29498,0,29498,1.1,339,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-02 23:30:00+00:00,47,28241,28106,0,28106,0.5,135,2025-01-01T08:45:00Z
Jan,2025-01-02,2025-01-03 00:00:00+00:00,48,27030,26964,0,26964,0.2,66,2025-01-01T08:45:00Z
Jan,2025-01-03,2025-01-03 00:30:00+00:00,1,25920,27192,0,27192,4.7,1272,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 01:00:00+00:00,2,26190,27119,0,27119,3.4,929,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 01:30:00+00:00,3,26088,26821,0,26821,2.7,733,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 02:00:00+00:00,4,25508,26197,0,26197,2.6,689,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 02:30:00+00:00,5,25043,25691,0,25691,2.5,648,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 03:00:00+00:00,6,24739,25286,0,25286,2.2,547,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 03:30:00+00:00,7,24669,25184,0,25184,2.0,515,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 04:00:00+00:00,8,24109,24612,0,24612,2.0,503,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 04:30:00+00:00,9,23940,24098,0,24098,0.7,158,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 05:00:00+00:00,10,23951,24079,0,24079,0.5,128,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 05:30:00+00:00,11,24572,24228,0,24228,1.4,344,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 06:00:00+00:00,12,25343,25062,0,25062,1.1,281,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 06:30:00+00:00,13,27890,27079,0,27079,3.0,811,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 07:00:00+00:00,14,30344,28869,0,28869,5.1,1475,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 07:30:00+00:00,15,33612,31417,0,31417,7.0,2195,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 08:00:00+00:00,16,35730,33315,0,33315,7.2,2415,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 08:30:00+00:00,17,37139,35533,0,35533,4.5,1606,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 09:00:00+00:00,18,37809,36691,0,36691,3.0,1118,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 09:30:00+00:00,19,38730,37693,0,37693,2.8,1037,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 10:00:00+00:00,20,38528,37342,0,37342,3.2,1186,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 10:30:00+00:00,21,38368,37327,0,37327,2.8,1041,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 11:00:00+00:00,22,38143,36544,0,36544,4.4,1599,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 11:30:00+00:00,23,37913,36102,0,36102,5.0,1811,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 12:00:00+00:00,24,37792,35863,0,35863,5.4,1929,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 12:30:00+00:00,25,38170,35877,0,35877,6.4,2293,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 13:00:00+00:00,26,38161,35690,0,35690,6.9,2471,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 13:30:00+00:00,27,38127,35639,0,35639,7.0,2488,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 14:00:00+00:00,28,37850,35961,0,35961,5.3,1889,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 14:30:00+00:00,29,38324,36310,0,36310,5.5,2014,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 15:00:00+00:00,30,38416,37250,0,37250,3.1,1166,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 15:30:00+00:00,31,38988,38777,0,38777,0.5,211,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 16:00:00+00:00,32,39985,39375,0,39375,1.5,610,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 16:30:00+00:00,33,41403,40233,0,40233,2.9,1170,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 17:00:00+00:00,34,42594,41882,0,41882,1.7,712,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 17:30:00+00:00,35,43020,42322,0,42322,1.6,698,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 18:00:00+00:00,36,42769,41917,0,41917,2.0,852,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 18:30:00+00:00,37,42441,41190,0,41190,3.0,1251,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 19:00:00+00:00,38,41949,40851,0,40851,2.7,1098,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 19:30:00+00:00,39,40675,39995,0,39995,1.7,680,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 20:00:00+00:00,40,39658,39178,0,39178,1.2,480,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 20:30:00+00:00,41,38447,37813,0,37813,1.7,634,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 21:00:00+00:00,42,37040,36759,0,36759,0.8,281,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 21:30:00+00:00,43,35646,35438,0,35438,0.6,208,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 22:00:00+00:00,44,34255,34302,0,34302,0.1,47,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 22:30:00+00:00,45,32259,32368,0,32368,0.3,109,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 23:00:00+00:00,46,30998,30844,0,30844,0.5,154,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-03 23:30:00+00:00,47,29507,29159,0,29159,1.2,348,2025-01-02T08:45:00Z
Jan,2025-01-03,2025-01-04 00:00:00+00:00,48,28410,28251,0,28251,0.6,159,2025-01-02T08:45:00Z
Jan,2025-01-04,2025-01-04 00:30:00+00:00,1,28710,28311,0,28311,1.4,399,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 01:00:00+00:00,2,29260,28552,0,28552,2.5,708,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 01:30:00+00:00,3,28894,27950,0,27950,3.4,944,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 02:00:00+00:00,4,28206,27104,0,27104,4.1,1102,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 02:30:00+00:00,5,27460,26514,0,26514,3.6,946,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 03:00:00+00:00,6,26909,26151,0,26151,2.9,758,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 03:30:00+00:00,7,26614,26111,0,26111,1.9,503,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 04:00:00+00:00,8,25983,25533,0,25533,1.8,450,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 04:30:00+00:00,9,25623,24575,0,24575,4.3,1048,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 05:00:00+00:00,10,25460,24247,0,24247,5.0,1213,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 05:30:00+00:00,11,25487,24324,0,24324,4.8,1163,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 06:00:00+00:00,12,25598,24976,0,24976,2.5,622,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 06:30:00+00:00,13,26765,25848,0,25848,3.5,917,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 07:00:00+00:00,14,27608,26589,0,26589,3.8,1019,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 07:30:00+00:00,15,28783,27809,0,27809,3.5,974,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 08:00:00+00:00,16,29850,28770,0,28770,3.8,1080,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 08:30:00+00:00,17,31810,30288,0,30288,5.0,1522,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 09:00:00+00:00,18,33426,31564,0,31564,5.9,1862,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 09:30:00+00:00,19,35079,33443,0,33443,4.9,1636,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 10:00:00+00:00,20,35930,34189,0,34189,5.1,1741,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 10:30:00+00:00,21,36280,35012,0,35012,3.6,1268,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 11:00:00+00:00,22,36005,35360,0,35360,1.8,645,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 11:30:00+00:00,23,36050,35396,0,35396,1.8,654,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 12:00:00+00:00,24,36239,35495,0,35495,2.1,744,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 12:30:00+00:00,25,36400,36453,0,36453,0.1,53,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 13:00:00+00:00,26,36500,36641,0,36641,0.4,141,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 13:30:00+00:00,27,36762,36530,0,36530,0.6,232,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 14:00:00+00:00,28,36867,36472,0,36472,1.1,395,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 14:30:00+00:00,29,36665,36779,0,36779,0.3,114,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 15:00:00+00:00,30,36650,36792,0,36792,0.4,142,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 15:30:00+00:00,31,36944,36939,0,36939,0.0,5,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 16:00:00+00:00,32,37527,37167,0,37167,1.0,360,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 16:30:00+00:00,33,38982,37895,0,37895,2.9,1087,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 17:00:00+00:00,34,40114,39015,0,39015,2.8,1099,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 17:30:00+00:00,35,40730,39967,0,39967,1.9,763,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 18:00:00+00:00,36,40646,40097,0,40097,1.4,549,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 18:30:00+00:00,37,40285,39776,0,39776,1.3,509,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 19:00:00+00:00,38,39365,39340,0,39340,0.1,25,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 19:30:00+00:00,39,38245,38151,0,38151,0.2,94,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 20:00:00+00:00,40,37355,37231,0,37231,0.3,124,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 20:30:00+00:00,41,36387,35790,0,35790,1.7,597,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 21:00:00+00:00,42,35100,34795,0,34795,0.9,305,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 21:30:00+00:00,43,33581,33404,0,33404,0.5,177,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 22:00:00+00:00,44,32424,32161,0,32161,0.8,263,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 22:30:00+00:00,45,31399,30660,0,30660,2.4,739,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 23:00:00+00:00,46,30162,29047,0,29047,3.8,1115,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-04 23:30:00+00:00,47,28666,27795,0,27795,3.1,871,2025-01-03T08:45:00Z
Jan,2025-01-04,2025-01-05 00:00:00+00:00,48,27630,26779,0,26779,3.2,851,2025-01-03T08:45:00Z
Jan,2025-01-05,2025-01-05 00:30:00+00:00,1,26230,26719,0,26719,1.8,489,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 01:00:00+00:00,2,26520,27043,0,27043,1.9,523,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 01:30:00+00:00,3,25877,26505,0,26505,2.4,628,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 02:00:00+00:00,4,25276,25828,0,25828,2.1,552,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 02:30:00+00:00,5,24553,25157,0,25157,2.4,604,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 03:00:00+00:00,6,24216,24656,0,24656,1.8,440,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 03:30:00+00:00,7,23819,24225,0,24225,1.7,406,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 04:00:00+00:00,8,23397,23780,0,23780,1.6,383,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 04:30:00+00:00,9,23126,23325,0,23325,0.9,199,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 05:00:00+00:00,10,22638,23021,0,23021,1.7,383,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 05:30:00+00:00,11,22450,22864,0,22864,1.8,414,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 06:00:00+00:00,12,22510,22918,0,22918,1.8,408,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 06:30:00+00:00,13,22946,23508,0,23508,2.4,562,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 07:00:00+00:00,14,23315,24033,0,24033,3.0,718,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 07:30:00+00:00,15,24223,24668,0,24668,1.8,445,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 08:00:00+00:00,16,24750,25394,0,25394,2.5,644,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 08:30:00+00:00,17,26125,26592,0,26592,1.8,467,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 09:00:00+00:00,18,28245,28479,0,28479,0.8,234,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 09:30:00+00:00,19,29767,30020,0,30020,0.8,253,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 10:00:00+00:00,20,30705,31385,0,31385,2.2,680,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 10:30:00+00:00,21,31818,32706,0,32706,2.7,888,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 11:00:00+00:00,22,32431,33752,0,33752,3.9,1321,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 11:30:00+00:00,23,32465,34739,0,34739,6.5,2274,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 12:00:00+00:00,24,32980,35348,0,35348,6.7,2368,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 12:30:00+00:00,25,33741,36041,0,36041,6.4,2300,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 13:00:00+00:00,26,34680,36542,0,36542,5.1,1862,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 13:30:00+00:00,27,34947,36692,0,36692,4.8,1745,2025-01-04T08:45:00Z
Jan,2025-01-05,2025-01-05 14:00:00+00:00,28,34956,36435,0,36435,4.1,1479,2025-01-04T08:45:00Z
