incident_id,timestamp,incident_type,severity,owner,notification_group,escalation_path
INC-00023,2025-01-01 12:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00024,2025-01-02 15:30:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00025,2025-01-02 16:00:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00026,2025-01-02 17:30:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00027,2025-01-02 18:00:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00028,2025-01-02 18:30:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00029,2025-01-02 19:00:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00030,2025-01-02 19:30:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00031,2025-01-03 17:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00032,2025-01-03 18:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00033,2025-01-03 18:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00034,2025-01-03 18:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00035,2025-01-03 18:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00036,2025-01-03 18:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00037,2025-01-03 18:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00038,2025-01-03 19:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00039,2025-01-03 19:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00040,2025-01-03 19:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00041,2025-01-03 19:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00042,2025-01-03 19:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00043,2025-01-03 19:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00044,2025-01-03 20:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00045,2025-01-03 20:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00046,2025-01-03 21:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00047,2025-01-03 21:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00048,2025-01-03 22:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00049,2025-01-04 07:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00050,2025-01-04 08:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00051,2025-01-04 08:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00052,2025-01-04 09:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00053,2025-01-04 09:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00054,2025-01-04 10:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00055,2025-01-04 10:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00056,2025-01-04 11:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00057,2025-01-04 11:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00058,2025-01-04 12:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00059,2025-01-04 12:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00060,2025-01-04 13:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00061,2025-01-04 13:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00062,2025-01-04 14:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00063,2025-01-04 14:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00064,2025-01-04 15:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00065,2025-01-04 15:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00066,2025-01-04 16:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00067,2025-01-04 16:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00068,2025-01-04 16:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00069,2025-01-04 17:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00070,2025-01-04 17:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00071,2025-01-04 17:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00072,2025-01-04 17:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00073,2025-01-04 18:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00074,2025-01-04 18:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00075,2025-01-04 18:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00076,2025-01-04 18:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00077,2025-01-04 19:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00078,2025-01-04 19:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00079,2025-01-06 10:00:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00080,2025-01-06 10:30:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00081,2025-01-06 11:00:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00082,2025-01-06 11:30:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00083,2025-01-06 12:00:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00084,2025-01-06 12:30:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00085,2025-01-06 13:00:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00086,2025-01-06 13:30:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00087,2025-01-06 14:00:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00088,2025-01-07 11:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00089,2025-01-07 11:30:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00090,2025-01-07 12:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00091,2025-01-07 12:00:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00092,2025-01-07 12:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00093,2025-01-07 12:30:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00094,2025-01-07 13:00:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00095,2025-01-07 13:00:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00096,2025-01-07 13:30:00,CURTAILMENT_RISK_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00097,2025-01-07 13:30:00,RENEWABLE_SUPPORT_INCIDENT,Low,Operator,Operations Team,Operator
INC-00098,2025-01-07 17:30:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00099,2025-01-07 18:00:00,FORECAST_RISK_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00100,2025-01-08 07:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00101,2025-01-08 08:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00102,2025-01-08 08:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00103,2025-01-08 09:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00104,2025-01-08 09:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00105,2025-01-08 09:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00106,2025-01-08 09:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00107,2025-01-08 10:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00108,2025-01-08 10:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00109,2025-01-08 10:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00110,2025-01-08 10:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00111,2025-01-08 11:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00112,2025-01-08 11:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00113,2025-01-08 11:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00114,2025-01-08 11:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00115,2025-01-08 12:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00116,2025-01-08 12:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00117,2025-01-08 12:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00118,2025-01-08 12:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00119,2025-01-08 13:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00120,2025-01-08 13:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00121,2025-01-08 13:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00122,2025-01-08 13:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00123,2025-01-08 14:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00124,2025-01-08 14:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00125,2025-01-08 14:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00126,2025-01-08 14:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00127,2025-01-08 15:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00128,2025-01-08 15:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00129,2025-01-08 15:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00130,2025-01-08 15:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00131,2025-01-08 15:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00132,2025-01-08 16:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00133,2025-01-08 16:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00134,2025-01-08 16:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00135,2025-01-08 16:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00136,2025-01-08 16:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00137,2025-01-08 16:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00138,2025-01-08 17:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00139,2025-01-08 17:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00140,2025-01-08 17:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00141,2025-01-08 17:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00142,2025-01-08 17:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00143,2025-01-08 17:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00144,2025-01-08 18:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00145,2025-01-08 18:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00146,2025-01-08 18:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00147,2025-01-08 18:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00148,2025-01-08 18:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00149,2025-01-08 18:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00150,2025-01-08 19:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00151,2025-01-08 19:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00152,2025-01-08 19:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00153,2025-01-08 19:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00154,2025-01-08 19:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00155,2025-01-08 19:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00156,2025-01-08 20:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00157,2025-01-08 20:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00158,2025-01-08 20:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00159,2025-01-08 20:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00160,2025-01-08 21:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00161,2025-01-08 21:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00162,2025-01-08 21:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00163,2025-01-08 22:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00164,2025-01-08 22:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00165,2025-01-08 23:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00166,2025-01-08 23:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00167,2025-01-09 00:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00168,2025-01-09 00:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00169,2025-01-09 01:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00170,2025-01-09 01:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00171,2025-01-09 07:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00172,2025-01-09 08:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00173,2025-01-09 08:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00174,2025-01-10 05:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00175,2025-01-10 05:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00176,2025-01-10 06:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00177,2025-01-10 06:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00178,2025-01-10 07:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00179,2025-01-10 07:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00180,2025-01-10 07:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00181,2025-01-10 07:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00182,2025-01-10 07:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00183,2025-01-10 07:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00184,2025-01-10 08:00:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00185,2025-01-10 08:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00186,2025-01-10 08:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00187,2025-01-10 08:30:00,GRID_STRESS_INCIDENT,Critical,Executive,Executive Leadership,Operator → Supervisor → Regional Controller → Executive
INC-00188,2025-01-10 08:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00189,2025-01-10 08:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00190,2025-01-10 09:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00191,2025-01-10 09:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00192,2025-01-10 09:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00193,2025-01-10 09:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00194,2025-01-10 10:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00195,2025-01-10 10:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00196,2025-01-10 10:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00197,2025-01-10 10:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00198,2025-01-10 11:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00199,2025-01-10 11:00:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00200,2025-01-10 11:30:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
INC-00201,2025-01-10 11:30:00,PEAK_LOAD_EMISSIONS_INCIDENT,High,Regional Controller,Regional Leadership,Operator → Supervisor → Regional Controller
INC-00202,2025-01-10 12:00:00,SUSTAINABILITY_INCIDENT,Medium,Supervisor,Operations Supervisor,Operator → Supervisor
